TIPO_DOCUMENTO;NUMERO_DOCUMENTO;DATA_EMISSAO_NF;FORNECEDOR;CNPJ_FORNECEDOR;VALOR_BRUTO;DATA_PAGAMENTO;APROVADO_POR;STATUS;arquivo_origem;data_processamento;tem_anomalia;DATA_EMISSAO;DESCRICAO_SERVICO;BANCO_DESTINO;(DATA_PAGAMENTO == DATA_EMISSAO) ? DATA_EMISSAO : DATA_PAGAMENTO;HASH_VERIFICACAO;DATE;DATE_PAYMENT;APPROVED_BY;Fornecedor;Data_Emissao_NF;Data_Pagamento;.STATUS;DATE_PAGAMENTO; VALOR_BRUTO;NUMBER_DOCUMENTO;NUMERO.Documento;DATASET;FORNECEDOR_DATA;VALOR_BRUTO_DATA;ESTADO; STATUS;TIPO DOCUMENTO;NUMERO DOCUMENTO;DATA EMISSAO NF;CNPJ FORNECEDOR;VALOR BRUTO;DATA PAGAMENTO;APROVADO POR;DATA_EMISSAO_NF_original;DATA_PAGAMENTO_original;Tipo_documento;Número_documento;Data_emissao_nf;CNPJ_fornecedor;Valor_bruto;Data_pagamento;Aprovado_por;Status;DATA ПAGAMENTO
NOTA_FISCAL;NF-99166;26/01/2024;Marketing Digital Pro;45678901000156;19500.0;12/02/2024;Ana Beatriz;PAGO;DOC_0011.txt;2026-04-22 00:45:39;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-10425;24/02/2025;TechSoft Ltda;12345678000190;4200.0;19/03/2025;Roberto Lima;ESTORNADO;DOC_0012.txt;2026-04-22 00:45:42;True;26/02/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-59009;03/06/2024;Consultoria RH Parceiros;34567890000134;10000.0;03/07/2024;Fernanda Costa;PAGO;DOC_0013.txt;2026-04-22 00:45:44;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-17592;02/09/2024;DataCenter Cloud SA;23456789000112;3500.0;16/09/2024;Ana Beatriz;PAGO;DOC_0014.txt;2026-04-22 00:45:47;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-82063;26/03/2023;Limpeza & Facilities;56789012000178;4200.0;22/04/2023;Carlos Mendes;ESTORNADO;DOC_0015.txt;2026-04-22 00:45:49;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONTRATO_ADITIVO;NF-77839;01/08/2023;Consultoria RH Parceiros;34567890000134;8500.0;04/09/2023;Roberto Lima;ESTORNADO;DOC_0016.txt;2026-04-22 00:45:52;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-10942;17/08/2023;TechSoft Ltda;12345678000190;3500.0;22/08/2023;Fernanda Costa;PAGO;DOC_0017.txt;2026-04-22 00:45:54;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-97684;11/03/2023;TechSoft Ltda;12345678000190;12000.0;09/04/2023;Fernanda Costa;PAGO;DOC_0018.txt;2026-04-22 00:45:56;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-22363;06/01/2025;DataCenter Cloud SA;23456789000112;19.5;09/02/2025;Roberto Lima;PAGO;DOC_0019.txt;2026-04-22 00:46:04;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FATURA;NF-24322;06/03/2024;Marketing Digital Pro;45678901000156;3500.0;23/03/2024;Maria Silva;PENDENTE;DOC_0020.txt;2026-04-22 00:46:06;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-19880;02/07/2024;DataCenter Cloud SA;23456789000112;15000.0;18/07/2024;Ana Beatriz;PAGO;DOC_0021.txt;2026-04-22 00:46:09;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-73653;17/02/2023;Limpeza & Facilities;56789012000178;33500.0;14/03/2023;Carlos Mendes;CANCELADO;DOC_0022.txt;2026-04-22 00:46:16;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONTRATO_ADITIVO;NF-65444;27/02/2023;DataCenter Cloud SA;23456789000112;3500.0;08/03/2023;Ana Beatriz;PAGO;DOC_0023.txt;2026-04-22 00:46:19;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-51104;06/06/2023;Limpeza & Facilities;56789012000178;8500.0;15/06/2023;Fernanda Costa;PAGO;DOC_0024.txt;2026-04-22 00:46:21;True;08/06/2023;Limpeza Predial;Caixa Ag.0023 C/C 44321-0;;NLC0024159942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-18981;25/05/2024;TechSoft Ltda;12345678000190;6000.0;28/06/2024;Fernanda Costa;PAGO;DOC_0025.txt;2026-04-22 00:46:29;True;;Licença de Software ERP;Itaú Ag.5678 C/C 12345-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-64948;14/02/2024;TechSoft Ltda;12345678000190;8500.0;22/02/2024;Fernanda Costa;PAGO;DOC_0026.txt;2026-04-22 00:46:31;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FATURA;NF-98039;20/09/2023;Limpeza & Facilities;56789012000178;12000.0;02/10/2023;Ana Beatriz;PAGO;DOC_0027.txt;2026-04-22 00:46:39;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-19602;20/11/2023;Consultoria RH Parceiros;34567890000134;3500.0;20/12/2023;Fernanda Costa;PAGO;DOC_0028.txt;2026-04-22 00:46:41;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-67433;14/05/2023;DataCenter Cloud SA;23456789000112;4200.0;15/06/2023;Ana Beatriz;PAPO;DOC_0029.txt;2026-04-22 00:46:48;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-44664;13/09/2024;Limpeza & Facilities;56789012000178;3500.0;14/10/2024;Ana Beatriz;PAGO;DOC_0030.txt;2026-04-22 00:46:51;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-42914;02/10/2023;TechSoft Ltda;12345678000190;8500.0;16/10/2023;Carlos Mendes;ESTORNADO;DOC_0031.txt;2026-04-22 00:46:53;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-31178;09/10/2024;TechSoft Ltda;12345678000190;3500.0;25/10/2024;Ana Beatriz;PAGO;DOC_0032.txt;2026-04-22 00:47:01;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONTRATO_ADITIVO;NF-86350;28/07/2024;Marketing Digital Pro;45678901000156;4200.0;29/07/2024;Fernanda Costa;PENDENTE;DOC_0033.txt;2026-04-22 00:47:03;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONTRATO_ADITIVO;NF-97416;09/05/2023;DataCenter Cloud SA;23456789000112;12000.0;13/05/2023;Ana Beatriz;PAGO;DOC_0034.txt;2026-04-22 00:47:11;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONTRATO_ADITIVO;NF-33509;2024-09-26;Consultoria RH Parceiros;34567890000134;850000.0;2024-10-21;Carlos Mendes;PAGO;DOC_0035.txt;2026-04-22 00:47:13;True;;Treinamento Corporativo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONTRATO_ADITIVO;NF-15075;16/11/2024;Consultoria RH Parceiros;34567890000134;8500.0;14/12/2024;Carlos Mendes;CANCELADO;DOC_0036.txt;2026-04-22 00:47:15;True;11/11/2024;Avaliação de Desempenho;Itaú Ag.5678 C/C 12345-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-53025;2024-04-14;DataCenter Cloud SA;23456789000112;850000.0;2024-04-28;Maria Silva;CANCELADO;DOC_0037.txt;2026-04-22 00:47:23;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-44237;26/12/2023;TechSoft Ltda;12345678000190;15000.0;16/01/2024;Ana Beatriz;PAGO;DOC_0038.txt;2026-04-22 00:47:26;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-60488;05/02/2023;Limpeza & Facilities;56789012000178;1500000.0;13/02/2023;Ana Beatriz;PAGO;DOC_0039.txt;2026-04-22 00:47:33;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-66531;12/02/2023;DataCenter Cloud SA;23456789000112;3500.0;10/03/2023;Fernanda Costa;PENDENTE;DOC_0040.txt;2026-04-22 00:47:35;True;;;;;NLC0040173372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FATURA;NF-62743;10/11/2024;Consultoria RH Parceiros;34567890000134;10000.0;08/12/2024;Ana Beatriz;PENDENTE;DOC_0041.txt;2026-04-22 00:47:43;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-63225;11/07/2023;Consultoria RH Parceiros;34567890000134;15000.0;30/07/2023;Fernanda Costa;PAGO;DOC_0042.txt;2026-04-22 00:47:46;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-77000;18/10/2023;TechSoft Ltda;12345678000190;12000.0;28/10/2023;Roberto Lima;PAGO;DOC_0043.txt;2026-04-22 00:47:48;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-36100;13/10/2023;DataCenter Cloud SA;23456789000112;12000.0;04/11/2023;Carlos Mendes;PAGO;DOC_0044.txt;2026-04-22 00:47:55;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-60328;04/09/2023;TechSoft Ltda;12345678000190;4200.0;24/09/2023;Roberto Lima;PAGO;DOC_0045.txt;2026-04-22 00:47:58;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-77889;27/05/2023;Marketing Digital Pro;45678901000156;3500.0;22/06/2023;Roberto Lima;PAGO;DOC_0046.txt;2026-04-22 00:48:00;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-68008;04/05/2023;TechSoft Ltda;12345678000190;195000.0;20/05/2023;Fernanda Costa;PENDENTE;DOC_0047.txt;2026-04-22 00:48:08;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONTRATO_ADITIVO;NF-78327;14/07/2024;Limpeza & Facilities;56789012000178;19500.0;30/07/2024;Ana Beatriz;PAGO;DOC_0048.txt;2026-04-22 00:48:10;True;15/07/2024;Jardinagem e Áreas Verdes;Banco do Brasil Ag.1234 C/C 56789-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-80798;21/03/2024;DataCenter Cloud SA;23456789000112;10000.0;29/03/2024;Ana Beatriz;PENDENTE;DOC_0049.txt;2026-04-22 00:48:18;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-53369;20/08/2023;DataCenter Cloud SA;23456789000112;6000.0;07/09/2023;Maria Silva;CANCELADO;DOC_0050.txt;2026-04-22 00:48:20;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONTRATO_ADITIVO;NF-72518;02/03/2023;Marketing Digital Pro;45678901000156;15000.0;12/03/2023;Maria Silva;CANCELADO;DOC_0051.txt;2026-04-22 00:48:23;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-73654;07/02/2025;Consultoria RH Parceiros;34567890000134;8500.0;23/02/2025;Carlos Mendes;CANCELADO;DOC_0052.txt;2026-04-22 00:48:30;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FATURA;NF-61645;12/11/2024;Marketing Digital Pro;45678901000156;6000.0;07/12/2024;Carlos Mendes;PAGO;DOC_0053.txt;2026-04-22 00:48:33;True;;SEO e Analytics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-59689;24/03/2023;Limpeza & Facilities;56789012000178;600000.0;17/04/2023;Carlos Mendes;PAGO;DOC_0054.txt;2026-04-22 00:48:40;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-12540;28/11/2023;DataCenter Cloud SA;23456789000112;10000.0;12/12/2023;Ana Beatriz;ESTORNADO;DOC_0055.txt;2026-04-22 00:48:43;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-12671;20/12/2023;Limpeza & Facilities;56789012000178;4200.0;02/01/2024;Maria Silva;PAGO;DOC_0056.txt;2026-04-22 00:48:45;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-58351;05/05/2023;DataCenter Cloud SA;23456789000112;42000.0;26/05/2023;Carlos Mendes;PAGO;DOC_0057.txt;2026-04-22 00:48:53;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-85470;06/03/2025;Limpeza & Facilities;56789012000178;10000.0;03/04/2025;Fernanda Costa;PAGO;DOC_0058.txt;2026-04-22 00:48:55;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONTRATO_ADITIVO;NF-84177;02/01/2025;Marketing Digital Pro;45678901000156;8500.0;09/01/2025;Ana Beatriz;PAGO;DOC_0059.txt;2026-04-22 00:48:58;True;02/01/2025;;Caixa Ag.0023 C/C 44321-0;;NLC0059920652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FATURA;NF-65057;2024-06-24;TechSoft Ltda;12345678000190;1200000.0;2024-07-13;Fernanda Costa;PAGO;DOC_0060.txt;2026-04-22 00:49:05;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-90728;14/03/2024;Marketing Digital Pro;45678901000156;19500.0;31/03/2024;Roberto Lima;PAGO;DOC_0061.txt;2026-04-22 00:49:08;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-69087;16/04/2024;Limpeza & Facilities;56789012000178;10000.0;05/05/2024;Carlos Mendes;PAGO;DOC_0062.txt;2026-04-22 00:49:15;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONTRATO_ADITIVO;NF-43862;08/12/2023;Marketing Digital Pro;45678901000156;12000.0;12/12/2023;Roberto Lima;PENDENTE;DOC_0063.txt;2026-04-22 00:49:17;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-82768;19/07/2024;Consultoria RH Parceiros;34567890000134;8500.0;24/07/2024;Carlos Mendes;ESTORNADO;DOC_0064.txt;2026-04-22 00:49:25;True;23/07/2024;Recrutamento e Seleção;Santander Ag.3456 C/C 78901-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-63005;20/10/2024;DataCenter Cloud SA;23456789000112;19500.0;15/11/2024;Maria Silva;PAGO;DOC_0065.txt;2026-04-22 00:49:27;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-82140;08/11/2024;DataCenter Cloud SA;23456789000112;19500.0;29/11/2024;Fernanda Costa;CANCELADO;DOC_0066.txt;2026-04-22 00:49:30;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-80236;03/10/2023;Consultoria RH Parceiros;34567890000134;8500.0;15/10/2023;Carlos Mendes;PAGO;DOC_0067.txt;2026-04-22 00:49:37;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-23176;07/08/2023;DataCenter Cloud SA;23456789000112;10000.0;03/09/2023;Fernanda Costa;PAGO;DOC_0068.txt;2026-04-22 00:49:40;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-15965;20/08/2023;DataCenter Cloud SA;23456789000112;10000.0;02/09/2023;Fernanda Costa;PAGO;DOC_0069.txt;2026-04-22 00:49:47;True;;Hospedagem Cloud;Banco do Brasil Ag.1234 C/C 56789-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-71524;15/12/2024;Limpeza & Facilities;56789012000178;19500.0;20/12/2024;Maria Silva;PAGO;DOC_0070.txt;2026-04-22 00:49:50;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FATURA;NF-19710;06/07/2023;Marketing Digital Pro;45678901000156;19500.0;10/07/2023;Maria Silva;ESTORNADO;DOC_0071.txt;2026-04-22 00:49:57;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-89471;29/05/2023;TechSoft Ltda;12345678000190;10000.0;28/06/2023;Carlos Mendes;CANCELADO;DOC_0072.txt;2026-04-22 00:49:59;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-50026;02/03/2025;Limpeza & Facilities;56789012000178;19500.0;22/03/2025;Ana Beatriz;CANCELADO;DOC_0073.txt;2026-04-22 00:50:02;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-41439;16/09/2024;Limpeza & Facilities;56789012000178;8500.0;10/10/2024;Ana Beatriz;PAGO;DOC_0074.txt;2026-04-22 00:50:10;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-40340;07/06/2023;Limpeza & Facilities;56789012000178;19500.0;11/06/2023;Roberto Lima;PAGO;DOC_0075.txt;2026-04-22 00:50:12;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-81376;14/03/2023;Consultoria RH Parceiros;34567890000134;10000.0;05/04/2023;Carlos Mendes;PAGO;DOC_0076.txt;2026-04-22 00:50:14;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-67560;26/05/2023;DataCenter Cloud SA;23456789000112;6000.0;29/05/2023;Fernanda Costa;PAGO;DOC_0077.txt;2026-04-22 00:50:22;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-66626;15/12/2024;Marketing Digital Pro;45678901000156;19500.0;30/12/2024;Maria Silva;PAGO;DOC_0078.txt;2026-04-22 00:50:24;False;17/12/2024;SEO e Analytics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-71669;26/01/2023;Consultoria RH Parceiros;34567890000134;3500.0;30/01/2023;Fernanda Costa;PAGO;DOC_0079.txt;2026-04-22 00:50:32;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-53687;02/07/2023;Marketing Digital Pro;45789010001156;1950000.0;24/07/2023;Roberto Lima;CANCELADO;DOC_0080.txt;2026-04-22 00:50:34;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-69614;29/11/2023;TechSoft Ltda;12345678000190;19500.0;18/12/2023;Roberto Lima;PAGO;DOC_0081.txt;2026-04-22 00:50:36;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-34586;25/11/2023;Consultoria RH Parceiros;34567890000134;3500.0;02/12/2023;Roberto Lima;PAGO;DOC_0082.txt;2026-04-22 00:50:44;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-67424;02/10/2024;Consultoria RH Parceiros;34567890000134;8500.0;17/10/2024;Fernanda Costa;PAGO;DOC_0083.txt;2026-04-22 00:50:46;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-82384;26/01/2023;Marketing Digital Pro;45678901000156;8500.0;20/02/2023;Ana Beatriz;PAGO;DOC_0084.txt;2026-04-22 00:50:54;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-64459;27/04/2023;TechSoft Ltda;12345678000190;6000.0;12/05/2023;Ana Beatriz;PAGO;DOC_0085.txt;2026-04-22 00:50:56;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-19150;03/09/2023;Marketing Digital Pro;45678901000156;600000.0;22/09/2023;Carlos Mendes;PAGO;DOC_0086.txt;2026-04-22 00:50:59;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FATURA;NF-29476;15/03/2025;Marketing Digital Pro;45678901000156;3500.0;03/04/2025;Ana Beatriz;ESTORNADO;DOC_0087.txt;2026-04-22 00:51:06;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-84946;16/12/2023;Limpeza & Facilities;56789012000178;15000.0;31/12/2023;Ana Beatriz;PAGO;DOC_0088.txt;2026-04-22 00:51:09;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;REC-08900;22/03/2024;Marketing Digital Pro;45678901000156;6000.0;25/03/2024;Roberto Lima;PAG;DOC_0089.txt;2026-04-22 00:51:11;True;22/03/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FATURA;NF-63736;13/04/2023;Limpeza & Facilities;56789012000178;4200.0;11/05/2023;Roberto Lima;PAGO;DOC_0090.txt;2026-04-22 00:51:19;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-98389;23/04/2024;DataCenter Cloud SA;23456789000112;12000.0;21/05/2024;Roberto Lima;PENDENTE;DOC_0091.txt;2026-04-22 00:51:21;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FATURA;NF-39817;30/09/2024;Marketing Digital Pro;45678901000156;3500.0;26/10/2024;Maria Silva;PAGO;DOC_0092.txt;2026-04-22 00:51:29;False;;Email Marketing;Banco do Brasil Ag.1234 C/C 56789-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONTRATO_ADITIVO;NF-16028;06/04/2023;TechSoft Ltda;12345678000190;4200.0;06/05/2023;Carlos Mendes;PAGO;DOC_0093.txt;2026-04-22 00:51:31;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-32280;31/12/2023;TechSoft Ltda;12345678000190;600000.0;15/01/2024;Fernanda Costa;Pago;DOC_0094.txt;2026-04-22 00:51:39;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONTRATO_ADITIVO;NF-93611;2024-09-25;TechSoft Ltda;12345678000190;19500.0;2024-10-18;Carlos Mendes;ESTORNADO;DOC_0095.txt;2026-04-22 00:51:41;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
